ANDAMAN AND NICOBAR ISLANDS,0
ANDHRA PRADESH,0.25
ARUNACHAL PRADESH,0
ASSAM,0
BIHAR,0.05
CHANDIGARH,0
CHHATTISGARH,0
Dadra and Nagar Haveli and Daman and Diu,0
DELHI,0.6
GOA,0
GUJARAT,0.2
HARYANA,0.05
HIMACHAL PRADESH,0
JAMMU AND KASHMIR,0.15
JHARKHAND,0
KARNATAKA,0.25
KERALA,0.55
LADAKH,0
Lakshadweep,0
MADHYA PRADESH,0.25
MAHARASHTRA,1
MANIPUR,0
Meghalaya,0
MIZORAM,0
Nagaland,0
ODISHA,0
PUDUCHERRY,0
PUNJAB,0.1
RAJASTHAN,0.25
Sikkim,0
TAMIL NADU,0.6
TELANGANA,0.3
Tripura,0
UTTAR PRADESH,0.25
UTTARAKHAND,0
WEST BENGAL,0.15
 ,0